CPT_CODES, CPT_DESCRIPTION, ICD_CODES, ICD_DESCRIPTION
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q20.0, Common arterial trunk
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q20.1, Double outlet right ventricle
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q20.2, Double outlet left ventricle
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q20.3, Discordant ventriculoarterial connection
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q20.4, Double inlet ventricle
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q20.5, Discordant atrioventricular connection
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q20.6, Isomerism of atrial appendages
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q20.8, Other congenital malformations of cardiac chambers and connections
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q21.0, Ventricular septal defect
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q21.1, Atrial septal defect
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q21.2, Atrioventricular septal defect
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q21.3, Tetralogy of Fallot
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q21.4, Aortopulmonary septal defect
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q21.8, Other congenital malformations of cardiac septa
93303, Echo transthoracic<<<wut>>>TRANSTHORACIC ECHOCARDIOGRAPHY FOR CONGENITAL CARDIAC ANOMALIES; COMPLETE, Q21.9, Congenital malformation of cardiac septum, unspecified
