CPT_CODES, CPT_DESCRIPTION, ICD_CODES, ICD_DESCRIPTION
93005, Electrocardiogram tracing<<<wut>>>ELECTROCARDIOGRAM, ROUTINE ECG WITH AT LEAST 12 LEADS; TRACING ONLY, WITHOUT INTERPRETATION AND REPORT, A01.01, Typhoid meningitis
93005, Electrocardiogram tracing<<<wut>>>ELECTROCARDIOGRAM, ROUTINE ECG WITH AT LEAST 12 LEADS; TRACING ONLY, WITHOUT INTERPRETATION AND REPORT, A01.02, Typhoid fever with heart involvement
93005, Electrocardiogram tracing<<<wut>>>ELECTROCARDIOGRAM, ROUTINE ECG WITH AT LEAST 12 LEADS; TRACING ONLY, WITHOUT INTERPRETATION AND REPORT, A01.03, Typhoid pneumonia
93005, Electrocardiogram tracing<<<wut>>>ELECTROCARDIOGRAM, ROUTINE ECG WITH AT LEAST 12 LEADS; TRACING ONLY, WITHOUT INTERPRETATION AND REPORT, A01.04, Typhoid arthritis
93005, Electrocardiogram tracing<<<wut>>>ELECTROCARDIOGRAM, ROUTINE ECG WITH AT LEAST 12 LEADS; TRACING ONLY, WITHOUT INTERPRETATION AND REPORT, A01.05, Typhoid osteomyelitis
93005, Electrocardiogram tracing<<<wut>>>ELECTROCARDIOGRAM, ROUTINE ECG WITH AT LEAST 12 LEADS; TRACING ONLY, WITHOUT INTERPRETATION AND REPORT, A01.09, Typhoid fever with other complications
93005, Electrocardiogram tracing<<<wut>>>ELECTROCARDIOGRAM, ROUTINE ECG WITH AT LEAST 12 LEADS; TRACING ONLY, WITHOUT INTERPRETATION AND REPORT, A02.1, Salmonella sepsis
93005, Electrocardiogram tracing<<<wut>>>ELECTROCARDIOGRAM, ROUTINE ECG WITH AT LEAST 12 LEADS; TRACING ONLY, WITHOUT INTERPRETATION AND REPORT, A05.1, Botulism food poisoning
93005, Electrocardiogram tracing<<<wut>>>ELECTROCARDIOGRAM, ROUTINE ECG WITH AT LEAST 12 LEADS; TRACING ONLY, WITHOUT INTERPRETATION AND REPORT, A17.83, Tuberculous neuritis
93005, Electrocardiogram tracing<<<wut>>>ELECTROCARDIOGRAM, ROUTINE ECG WITH AT LEAST 12 LEADS; TRACING ONLY, WITHOUT INTERPRETATION AND REPORT, A17.89, Other tuberculosis of nervous system
93005, Electrocardiogram tracing<<<wut>>>ELECTROCARDIOGRAM, ROUTINE ECG WITH AT LEAST 12 LEADS; TRACING ONLY, WITHOUT INTERPRETATION AND REPORT, A18.82, Tuberculosis of other endocrine glands
