CPT_CODES, CPT_DESCRIPTION, ICD_CODES, ICD_DESCRIPTION
93926, Lower extremity study<<<wut>>>DUPLEX SCAN OF LOWER EXTREMITY ARTERIES OR ARTERIAL BYPASS GRAFTS; UNILATERAL OR LIMITED STUDY, A48.0, Gas gangrene
93926, Lower extremity study<<<wut>>>DUPLEX SCAN OF LOWER EXTREMITY ARTERIES OR ARTERIAL BYPASS GRAFTS; UNILATERAL OR LIMITED STUDY, E08.51, Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene
93926, Lower extremity study<<<wut>>>DUPLEX SCAN OF LOWER EXTREMITY ARTERIES OR ARTERIAL BYPASS GRAFTS; UNILATERAL OR LIMITED STUDY, E08.52, Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene
93926, Lower extremity study<<<wut>>>DUPLEX SCAN OF LOWER EXTREMITY ARTERIES OR ARTERIAL BYPASS GRAFTS; UNILATERAL OR LIMITED STUDY, E08.59, Diabetes mellitus due to underlying condition with other circulatory complications
93926, Lower extremity study<<<wut>>>DUPLEX SCAN OF LOWER EXTREMITY ARTERIES OR ARTERIAL BYPASS GRAFTS; UNILATERAL OR LIMITED STUDY, E09.51, Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy without gangrene
93926, Lower extremity study<<<wut>>>DUPLEX SCAN OF LOWER EXTREMITY ARTERIES OR ARTERIAL BYPASS GRAFTS; UNILATERAL OR LIMITED STUDY, E09.52, Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene
93926, Lower extremity study<<<wut>>>DUPLEX SCAN OF LOWER EXTREMITY ARTERIES OR ARTERIAL BYPASS GRAFTS; UNILATERAL OR LIMITED STUDY, E09.59, Drug or chemical induced diabetes mellitus with other circulatory complications
93926, Lower extremity study<<<wut>>>DUPLEX SCAN OF LOWER EXTREMITY ARTERIES OR ARTERIAL BYPASS GRAFTS; UNILATERAL OR LIMITED STUDY, E10.51, Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
93926, Lower extremity study<<<wut>>>DUPLEX SCAN OF LOWER EXTREMITY ARTERIES OR ARTERIAL BYPASS GRAFTS; UNILATERAL OR LIMITED STUDY, E10.52, Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene
93926, Lower extremity study<<<wut>>>DUPLEX SCAN OF LOWER EXTREMITY ARTERIES OR ARTERIAL BYPASS GRAFTS; UNILATERAL OR LIMITED STUDY, E10.59, Type 1 diabetes mellitus with other circulatory complications
