CPT_CODES, CPT_DESCRIPTION, ICD_CODES, ICD_DESCRIPTION
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I11.0, Hypertensive heart disease with heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I13.0, Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I13.2, Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I16.0, Hypertensive urgency
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I16.1, Hypertensive emergency
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I31.1, Chronic constrictive pericarditis
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I42.0, Dilated cardiomyopathy
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I42.5, Other restrictive cardiomyopathy
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I42.8, Other cardiomyopathies
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.1, Left ventricular failure, unspecified
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.21, Acute systolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.22, Chronic systolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.23, Acute on chronic systolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.31, Acute diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.32, Chronic diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.33, Acute on chronic diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.41, Acute combined systolic (congestive) and diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.42, Chronic combined systolic (congestive) and diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.43, Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.810, Right heart failure, unspecified
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.811, Acute right heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.812, Chronic right heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.813, Acute on chronic right heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.814, Right heart failure due to left heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.82, Biventricular heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.83, High output heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.84, End stage heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.89, Other heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.9, Heart failure, unspecified
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, J44.0, Chronic obstructive pulmonary disease with acute lower respiratory infection
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, J44.1, Chronic obstructive pulmonary disease with (acute) exacerbation
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, J45.901, Unspecified asthma with (acute) exacerbation
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, J98.01, Acute bronchospasm
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.00, Dyspnea, unspecified
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.01, Orthopnea
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.02, Shortness of breath
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.03, Acute respiratory distress
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.09, Other forms of dyspnea
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.2, Wheezing
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.82, Tachypnea, not elsewhere classified
